"                                                                                           "
" CO2 concentrations are measured on the '12' calibration scale                             "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
1982, 04,   30056, 1982.2877,   343.59,   341.09,     343.41,   340.90,     343.59,   341.09
1982, 05,   30086, 1982.3699,   344.16,   341.12,     344.02,   340.98,     344.16,   341.12
1982, 06,   30117, 1982.4548,   343.37,   341.07,     343.33,   341.06,     343.37,   341.07
1982, 07,   30147, 1982.5370,   342.07,   341.35,     341.83,   341.13,     342.07,   341.35
1982, 08,   30178, 1982.6219,   339.83,   341.20,     339.81,   341.21,     339.83,   341.20
1982, 09,   30209, 1982.7068,   338.00,   341.12,     338.16,   341.30,     338.00,   341.12
1982, 10,   30239, 1982.7890,   337.88,   341.12,     338.17,   341.39,     337.88,   341.12
1982, 11,   30270, 1982.8740,   339.28,   341.31,     339.50,   341.51,     339.28,   341.31
1982, 12,   30300, 1982.9562,   340.51,   341.34,     340.82,   341.64,     340.51,   341.34
1983, 01,   30331, 1983.0411,   341.40,   341.35,     341.85,   341.79,     341.40,   341.35
1983, 02,   30362, 1983.1260,   342.54,   341.86,     342.66,   341.96,     342.54,   341.86
1983, 03,   30390, 1983.2027,   343.12,   341.73,     343.53,   342.13,     343.12,   341.73
1983, 04,   30421, 1983.2877,   344.96,   342.46,     344.84,   342.32,     344.96,   342.46
1983, 05,   30451, 1983.3699,   345.78,   342.73,     345.56,   342.52,     345.78,   342.73
1983, 06,   30482, 1983.4548,   345.34,   343.03,     344.99,   342.71,     345.34,   343.03
1983, 07,   30512, 1983.5370,   344.00,   343.27,     343.58,   342.89,     344.00,   343.27
1983, 08,   30543, 1983.6219,   342.40,   343.77,     341.65,   343.06,     342.40,   343.77
1983, 09,   30574, 1983.7068,   339.88,   343.02,     340.08,   343.23,     339.88,   343.02
1983, 10,   30604, 1983.7890,   340.00,   343.25,     340.14,   343.38,     340.00,   343.25
1983, 11,   30635, 1983.8740,   341.16,   343.19,     341.52,   343.53,     341.16,   343.19
1983, 12,   30665, 1983.9562,   342.99,   343.82,     342.86,   343.67,     342.99,   343.82
1984, 01,   30696, 1984.0410,   343.82,   343.78,     343.87,   343.82,     343.82,   343.78
1984, 02,   30727, 1984.1257,   344.62,   343.94,     344.65,   343.95,     344.62,   343.94
1984, 03,   30756, 1984.2049,   345.39,   343.97,     345.51,   344.08,     345.39,   343.97
1984, 04,   30787, 1984.2896,   347.15,   344.62,     346.76,   344.21,     347.15,   344.62
1984, 05,   30817, 1984.3716,   347.52,   344.46,     347.39,   344.33,     347.52,   344.46
1984, 06,   30848, 1984.4563,   346.88,   344.59,     346.72,   344.45,     346.88,   344.59
1984, 07,   30878, 1984.5383,   345.47,   344.76,     345.24,   344.57,     345.47,   344.76
1984, 08,   30909, 1984.6230,   343.34,   344.75,     343.24,   344.68,     343.34,   344.75
1984, 09,   30940, 1984.7077,   341.13,   344.29,     341.63,   344.80,     341.13,   344.29
1984, 10,   30970, 1984.7896,   341.40,   344.65,     341.67,   344.91,     341.40,   344.65
1984, 11,   31001, 1984.8743,   343.02,   345.06,     343.02,   345.03,     343.02,   345.06
1984, 12,   31031, 1984.9563,   344.25,   345.09,     344.33,   345.15,     344.25,   345.09
1985, 01,   31062, 1985.0411,   344.99,   344.95,     345.33,   345.28,     344.99,   344.95
1985, 02,   31093, 1985.1260,   346.01,   345.32,     346.10,   345.40,     346.01,   345.32
1985, 03,   31121, 1985.2027,   347.43,   346.04,     346.92,   345.51,     347.43,   346.04
1985, 04,   31152, 1985.2877,   348.34,   345.83,     348.16,   345.63,     348.34,   345.83
1985, 05,   31182, 1985.3699,   348.92,   345.85,     348.80,   345.73,     348.92,   345.85
1985, 06,   31213, 1985.4548,   348.24,   345.92,     348.12,   345.82,     348.24,   345.92
1985, 07,   31243, 1985.5370,   346.53,   345.80,     346.61,   345.91,     346.53,   345.80
1985, 08,   31274, 1985.6219,   344.64,   346.03,     344.58,   346.00,     344.64,   346.03
1985, 09,   31305, 1985.7068,   343.06,   346.21,     342.91,   346.08,     343.06,   346.21
1985, 10,   31335, 1985.7890,   342.77,   346.04,     342.91,   346.17,     342.77,   346.04
1985, 11,   31366, 1985.8740,   344.21,   346.26,     344.23,   346.26,     344.21,   346.26
1985, 12,   31396, 1985.9562,   345.53,   346.37,     345.52,   346.35,     345.53,   346.37
1986, 01,   31427, 1986.0411,   346.28,   346.23,     346.50,   346.45,     346.28,   346.23
1986, 02,   31458, 1986.1260,   346.93,   346.24,     347.26,   346.56,     346.93,   346.24
1986, 03,   31486, 1986.2027,   347.83,   346.43,     348.08,   346.66,     347.83,   346.43
1986, 04,   31517, 1986.2877,   349.53,   347.00,     349.33,   346.79,     349.53,   347.00
1986, 05,   31547, 1986.3699,   350.20,   347.12,     349.99,   346.91,     350.20,   347.12
1986, 06,   31578, 1986.4548,   349.53,   347.21,     349.35,   347.04,     349.53,   347.21
1986, 07,   31608, 1986.5370,   347.92,   347.18,     347.87,   347.17,     347.92,   347.18
1986, 08,   31639, 1986.6219,   345.88,   347.27,     345.87,   347.30,     345.88,   347.27
1986, 09,   31670, 1986.7068,   344.83,   348.00,     344.25,   347.43,     344.83,   348.00
1986, 10,   31700, 1986.7890,   344.15,   347.43,     344.29,   347.55,     344.15,   347.43
1986, 11,   31731, 1986.8740,   345.64,   347.69,     345.65,   347.68,     345.64,   347.69
1986, 12,   31761, 1986.9562,   346.88,   347.72,     346.99,   347.82,     346.88,   347.72
1987, 01,   31792, 1987.0411,   348.00,   347.96,     348.02,   347.96,     348.00,   347.96
1987, 02,   31823, 1987.1260,   348.47,   347.77,     348.81,   348.11,     348.47,   347.77
1987, 03,   31851, 1987.2027,   349.40,   348.00,     349.68,   348.26,     349.40,   348.00
1987, 04,   31882, 1987.2877,   350.97,   348.44,     350.98,   348.43,     350.97,   348.44
1987, 05,   31912, 1987.3699,   351.84,   348.75,     351.70,   348.61,     351.84,   348.75
1987, 06,   31943, 1987.4548,   351.25,   348.91,     351.11,   348.79,     351.25,   348.91
1987, 07,   31973, 1987.5370,   349.50,   348.76,     349.68,   348.98,     349.50,   348.76
1987, 08,   32004, 1987.6219,   348.09,   349.48,     347.75,   349.17,     348.09,   349.48
1987, 09,   32035, 1987.7068,   346.44,   349.61,     346.18,   349.37,     346.44,   349.61
1987, 10,   32065, 1987.7890,   346.09,   349.38,     346.29,   349.56,     346.09,   349.38
1987, 11,   32096, 1987.8740,   347.54,   349.60,     347.73,   349.76,     347.54,   349.60
1987, 12,   32126, 1987.9562,   348.69,   349.54,     349.14,   349.96,     348.69,   349.54
1988, 01,   32157, 1988.0410,   350.16,   350.12,     350.23,   350.17,     350.16,   350.12
1988, 02,   32188, 1988.1257,   351.47,   350.78,     351.08,   350.38,     351.47,   350.78
1988, 03,   32217, 1988.2049,   351.96,   350.53,     352.02,   350.57,     351.96,   350.53
1988, 04,   32248, 1988.2896,   353.33,   350.77,     353.36,   350.77,     353.33,   350.77
1988, 05,   32278, 1988.3716,   353.97,   350.87,     354.06,   350.96,     353.97,   350.87
1988, 06,   32309, 1988.4563,   353.55,   351.23,     353.45,   351.15,     353.55,   351.23
1988, 07,   32339, 1988.5383,   352.14,   351.43,     352.00,   351.32,     352.14,   351.43
1988, 08,   32370, 1988.6230,   350.19,   351.62,     350.03,   351.49,     350.19,   351.62
1988, 09,   32401, 1988.7077,   348.50,   351.69,     348.44,   351.65,     348.50,   351.69
1988, 10,   32431, 1988.7896,   348.66,   351.95,     348.51,   351.79,     348.66,   351.95
1988, 11,   32462, 1988.8743,   349.85,   351.91,     349.89,   351.93,     349.85,   351.91
1988, 12,   32492, 1988.9563,   351.12,   351.97,     351.22,   352.05,     351.12,   351.97
1989, 01,   32523, 1989.0411,   352.55,   352.50,     352.23,   352.17,     352.55,   352.50
1989, 02,   32554, 1989.1260,   352.86,   352.16,     352.99,   352.28,     352.86,   352.16
1989, 03,   32582, 1989.2027,   353.48,   352.07,     353.80,   352.38,     353.48,   352.07
1989, 04,   32613, 1989.2877,   355.22,   352.67,     355.05,   352.48,     355.22,   352.67
1989, 05,   32643, 1989.3699,   355.47,   352.36,     355.69,   352.58,     355.47,   352.36
1989, 06,   32674, 1989.4548,   354.92,   352.57,     355.01,   352.69,     354.92,   352.57
1989, 07,   32704, 1989.5370,   353.70,   352.95,     353.49,   352.78,     353.70,   352.95
1989, 08,   32735, 1989.6219,   351.47,   352.87,     351.44,   352.88,     351.47,   352.87
1989, 09,   32766, 1989.7068,   349.61,   352.80,     349.77,   352.98,     349.61,   352.80
1989, 10,   32796, 1989.7890,   349.79,   353.10,     349.78,   353.08,     349.79,   353.10
1989, 11,   32827, 1989.8740,   351.10,   353.17,     351.13,   353.18,     351.10,   353.17
1989, 12,   32857, 1989.9562,   352.32,   353.18,     352.44,   353.28,     352.32,   353.18
1990, 01,   32888, 1990.0411,   353.46,   353.42,     353.44,   353.38,     353.46,   353.42
1990, 02,   32919, 1990.1260,   354.50,   353.81,     354.19,   353.48,     354.50,   353.81
1990, 03,   32947, 1990.2027,   355.19,   353.77,     355.00,   353.57,     355.19,   353.77
1990, 04,   32978, 1990.2877,   356.00,   353.44,     356.25,   353.68,     356.00,   353.44
1990, 05,   33008, 1990.3699,   356.96,   353.84,     356.90,   353.78,     356.96,   353.84
1990, 06,   33039, 1990.4548,   356.04,   353.68,     356.23,   353.90,     356.04,   353.68
1990, 07,   33069, 1990.5370,   354.62,   353.88,     354.73,   354.02,     354.62,   353.88
1990, 08,   33100, 1990.6219,   352.71,   354.12,     352.71,   354.15,     352.71,   354.12
1990, 09,   33131, 1990.7068,   350.77,   353.98,     351.07,   354.29,     350.77,   353.98
1990, 10,   33161, 1990.7890,   350.99,   354.31,     351.12,   354.43,     350.99,   354.31
1990, 11,   33192, 1990.8740,   352.64,   354.72,     352.53,   354.58,     352.64,   354.72
1990, 12,   33222, 1990.9562,   354.02,   354.87,     353.89,   354.73,     354.02,   354.87
1991, 01,   33253, 1991.0411,   354.53,   354.48,     354.93,   354.88,     354.53,   354.48
1991, 02,   33284, 1991.1260,   355.55,   354.85,     355.73,   355.02,     355.55,   354.85
1991, 03,   33312, 1991.2027,   356.96,   355.54,     356.57,   355.14,     356.96,   355.54
1991, 04,   33343, 1991.2877,   358.40,   355.83,     357.83,   355.25,     358.40,   355.83
1991, 05,   33373, 1991.3699,   359.14,   356.01,     358.47,   355.34,     359.14,   356.01
1991, 06,   33404, 1991.4548,   358.04,   355.68,     357.76,   355.42,     358.04,   355.68
1991, 07,   33434, 1991.5370,   355.98,   355.23,     356.20,   355.49,     355.98,   355.23
1991, 08,   33465, 1991.6219,   353.81,   355.23,     354.10,   355.54,     353.81,   355.23
1991, 09,   33496, 1991.7068,   351.95,   355.17,     352.37,   355.60,     351.95,   355.17
1991, 10,   33526, 1991.7890,   352.02,   355.35,     352.34,   355.66,     352.02,   355.35
1991, 11,   33557, 1991.8740,   353.55,   355.64,     353.66,   355.72,     353.55,   355.64
1991, 12,   33587, 1991.9562,   354.79,   355.65,     354.95,   355.79,     354.79,   355.65
1992, 01,   33618, 1992.0410,   355.79,   355.74,     355.92,   355.86,     355.79,   355.74
1992, 02,   33649, 1992.1257,   356.52,   355.82,     356.64,   355.93,     356.52,   355.82
1992, 03,   33678, 1992.2049,   357.61,   356.16,     357.46,   356.00,     357.61,   356.16
1992, 04,   33709, 1992.2896,   358.95,   356.35,     358.68,   356.06,     358.95,   356.35
1992, 05,   33739, 1992.3716,   359.46,   356.32,     359.25,   356.11,     359.46,   356.32
1992, 06,   33770, 1992.4563,   359.05,   356.70,     358.48,   356.16,     359.05,   356.70
1992, 07,   33800, 1992.5383,   356.82,   356.10,     356.88,   356.19,     356.82,   356.10
1992, 08,   33831, 1992.6230,   354.80,   356.24,     354.75,   356.23,     354.80,   356.24
1992, 09,   33862, 1992.7077,   352.81,   356.04,     353.00,   356.26,     352.81,   356.04
1992, 10,   33892, 1992.7896,   353.11,   356.44,     352.96,   356.29,     353.11,   356.44
1992, 11,   33923, 1992.8743,   353.96,   356.05,     354.26,   356.33,     353.96,   356.05
1992, 12,   33953, 1992.9563,   355.20,   356.06,     355.53,   356.37,     355.20,   356.06
1993, 01,   33984, 1993.0411,   356.50,   356.46,     356.48,   356.42,     356.50,   356.46
1993, 02,   34015, 1993.1260,   356.97,   356.26,     357.20,   356.48,     356.97,   356.26
1993, 03,   34043, 1993.2027,   358.18,   356.75,     357.99,   356.54,     358.18,   356.75
1993, 04,   34074, 1993.2877,   359.26,   356.68,     359.22,   356.62,     359.26,   356.68
1993, 05,   34104, 1993.3699,   360.08,   356.93,     359.85,   356.70,     360.08,   356.93
1993, 06,   34135, 1993.4548,   359.40,   357.02,     359.15,   356.79,     359.40,   357.02
1993, 07,   34165, 1993.5370,   357.38,   356.62,     357.61,   356.89,     357.38,   356.62
1993, 08,   34196, 1993.6219,   355.33,   356.75,     355.55,   357.01,     355.33,   356.75
1993, 09,   34227, 1993.7068,   353.50,   356.74,     353.88,   357.14,     353.50,   356.74
1993, 10,   34257, 1993.7890,   353.80,   357.15,     353.93,   357.27,     353.80,   357.15
1993, 11,   34288, 1993.8740,   355.15,   357.25,     355.35,   357.43,     355.15,   357.25
1993, 12,   34318, 1993.9562,   356.62,   357.48,     356.74,   357.59,     356.62,   357.48
1994, 01,   34349, 1994.0411,   358.19,   358.14,     357.81,   357.76,     358.19,   358.14
1994, 02,   34380, 1994.1260,   358.73,   358.02,     358.65,   357.93,     358.73,   358.02
1994, 03,   34408, 1994.2027,   359.79,   358.36,     359.53,   358.08,     359.79,   358.36
1994, 04,   34439, 1994.2877,   361.09,   358.50,     360.86,   358.25,     361.09,   358.50
1994, 05,   34469, 1994.3699,   361.52,   358.36,     361.57,   358.41,     361.52,   358.36
1994, 06,   34500, 1994.4548,   360.77,   358.39,     360.95,   358.58,     360.77,   358.39
1994, 07,   34530, 1994.5370,   359.38,   358.62,     359.47,   358.75,     359.38,   358.62
1994, 08,   34561, 1994.6219,   357.31,   358.73,     357.46,   358.92,     357.31,   358.73
1994, 09,   34592, 1994.7068,   355.68,   358.92,     355.84,   359.10,     355.68,   358.92
1994, 10,   34622, 1994.7890,   355.83,   359.19,     355.93,   359.28,     355.83,   359.19
1994, 11,   34653, 1994.8740,   357.42,   359.53,     357.38,   359.47,     357.42,   359.53
1994, 12,   34683, 1994.9562,   358.88,   359.74,     358.80,   359.65,     358.88,   359.74
1995, 01,   34714, 1995.0411,   359.81,   359.76,     359.89,   359.83,     359.81,   359.76
1995, 02,   34745, 1995.1260,   360.84,   360.13,     360.73,   360.01,     360.84,   360.13
1995, 03,   34773, 1995.2027,   361.48,   360.05,     361.63,   360.17,     361.48,   360.05
1995, 04,   34804, 1995.2877,   363.30,   360.70,     362.97,   360.35,     363.30,   360.70
1995, 05,   34834, 1995.3699,   363.65,   360.48,     363.68,   360.51,     363.65,   360.48
1995, 06,   34865, 1995.4548,   363.11,   360.72,     363.05,   360.68,     363.11,   360.72
1995, 07,   34895, 1995.5370,   361.75,   360.99,     361.56,   360.84,     361.75,   360.99
1995, 08,   34926, 1995.6219,   359.31,   360.74,     359.54,   361.00,     359.31,   360.74
1995, 09,   34957, 1995.7068,   357.91,   361.17,     357.89,   361.17,     357.91,   361.17
1995, 10,   34987, 1995.7890,   357.62,   360.99,     357.96,   361.32,     357.62,   360.99
1995, 11,   35018, 1995.8740,   359.42,   361.54,     359.40,   361.49,     359.42,   361.54
1995, 12,   35048, 1995.9562,   360.56,   361.43,     360.79,   361.64,     360.56,   361.43
1996, 01,   35079, 1996.0410,   361.91,   361.86,     361.85,   361.80,     361.91,   361.86
1996, 02,   35110, 1996.1257,   363.11,   362.40,     362.66,   361.94,     363.11,   362.40
1996, 03,   35139, 1996.2049,   363.88,   362.42,     363.56,   362.07,     363.88,   362.42
1996, 04,   35170, 1996.2896,   364.58,   361.95,     364.85,   362.20,     364.58,   361.95
1996, 05,   35200, 1996.3716,   365.29,   362.11,     365.49,   362.31,     365.29,   362.11
1996, 06,   35231, 1996.4563,   364.84,   362.46,     364.78,   362.42,     364.84,   362.46
1996, 07,   35261, 1996.5383,   363.52,   362.79,     363.22,   362.52,     363.52,   362.79
1996, 08,   35292, 1996.6230,   361.35,   362.81,     361.12,   362.62,     361.35,   362.81
1996, 09,   35323, 1996.7077,   359.32,   362.60,     359.41,   362.70,     359.32,   362.60
1996, 10,   35353, 1996.7896,   359.48,   362.86,     359.42,   362.78,     359.48,   362.86
1996, 11,   35384, 1996.8743,   360.64,   362.75,     360.77,   362.86,     360.64,   362.75
1996, 12,   35414, 1996.9563,   362.21,   363.07,     362.09,   362.94,     362.21,   363.07
1997, 01,   35445, 1997.0411,   363.06,   363.02,     363.08,   363.02,     363.06,   363.02
1997, 02,   35476, 1997.1260,   363.87,   363.16,     363.84,   363.11,     363.87,   363.16
1997, 03,   35504, 1997.2027,   364.44,   363.00,     364.66,   363.20,     364.44,   363.00
1997, 04,   35535, 1997.2877,   366.23,   363.62,     365.94,   363.31,     366.23,   363.62
1997, 05,   35565, 1997.3699,   366.68,   363.49,     366.61,   363.42,     366.68,   363.49
1997, 06,   35596, 1997.4548,   365.52,   363.11,     365.94,   363.56,     365.52,   363.11
1997, 07,   35626, 1997.5370,   364.36,   363.60,     364.44,   363.71,     364.36,   363.60
1997, 08,   35657, 1997.6219,   362.39,   363.83,     362.41,   363.88,     362.39,   363.83
1997, 09,   35688, 1997.7068,   360.08,   363.35,     360.79,   364.09,     360.08,   363.35
1997, 10,   35718, 1997.7890,   360.67,   364.06,     360.92,   364.30,     360.67,   364.06
1997, 11,   35749, 1997.8740,   362.32,   364.45,     362.44,   364.55,     362.32,   364.45
1997, 12,   35779, 1997.9562,   364.17,   365.04,     363.94,   364.80,     364.17,   365.04
1998, 01,   35810, 1998.0411,   365.22,   365.17,     365.13,   365.07,     365.22,   365.17
1998, 02,   35841, 1998.1260,   366.04,   365.33,     366.07,   365.34,     366.04,   365.33
1998, 03,   35869, 1998.2027,   367.20,   365.75,     367.06,   365.60,     367.20,   365.75
1998, 04,   35900, 1998.2877,   368.50,   365.88,     368.51,   365.87,     368.50,   365.88
1998, 05,   35930, 1998.3699,   369.19,   365.99,     369.33,   366.13,     369.19,   365.99
1998, 06,   35961, 1998.4548,   368.77,   366.35,     368.79,   366.40,     368.77,   366.35
1998, 07,   35991, 1998.5370,   367.53,   366.77,     367.37,   366.64,     367.53,   366.77
1998, 08,   36022, 1998.6219,   365.68,   367.12,     365.40,   366.88,     365.68,   367.12
1998, 09,   36053, 1998.7068,   363.80,   367.09,     363.79,   367.10,     363.80,   367.09
1998, 10,   36083, 1998.7890,   364.13,   367.54,     363.90,   367.29,     364.13,   367.54
1998, 11,   36114, 1998.8740,   365.36,   367.49,     365.35,   367.46,     365.36,   367.49
1998, 12,   36144, 1998.9562,   366.87,   367.74,     366.76,   367.61,     366.87,   367.74
1999, 01,   36175, 1999.0411,   368.05,   368.00,     367.81,   367.75,     368.05,   368.00
1999, 02,   36206, 1999.1260,   368.77,   368.05,     368.59,   367.86,     368.77,   368.05
1999, 03,   36234, 1999.2027,   369.49,   368.03,     369.42,   367.95,     369.49,   368.03
1999, 04,   36265, 1999.2877,   371.04,   368.41,     370.68,   368.03,     371.04,   368.41
1999, 05,   36295, 1999.3699,   370.90,   367.69,     371.31,   368.10,     370.90,   367.69
1999, 06,   36326, 1999.4548,   370.25,   367.83,     370.57,   368.17,     370.25,   367.83
1999, 07,   36356, 1999.5370,   369.17,   368.40,     368.97,   368.24,     369.17,   368.40
1999, 08,   36387, 1999.6219,   366.83,   368.28,     366.82,   368.31,     366.83,   368.28
1999, 09,   36418, 1999.7068,   364.54,   367.84,     365.07,   368.38,     364.54,   367.84
1999, 10,   36448, 1999.7890,   365.04,   368.45,     365.06,   368.46,     365.04,   368.45
1999, 11,   36479, 1999.8740,   366.58,   368.72,     366.43,   368.55,     366.58,   368.72
1999, 12,   36509, 1999.9562,   367.92,   368.79,     367.77,   368.63,     367.92,   368.79
2000, 01,   36540, 2000.0410,   369.05,   369.00,     368.78,   368.73,     369.05,   369.00
2000, 02,   36571, 2000.1257,   369.37,   368.65,     369.55,   368.82,     369.37,   368.65
2000, 03,   36600, 2000.2049,   370.42,   368.94,     370.42,   368.92,     370.42,   368.94
2000, 04,   36631, 2000.2896,   371.57,   368.90,     371.71,   369.03,     371.57,   368.90
2000, 05,   36661, 2000.3716,   371.74,   368.52,     372.36,   369.14,     371.74,   368.52
2000, 06,   36692, 2000.4563,   371.60,   369.19,     371.66,   369.27,     371.60,   369.19
2000, 07,   36722, 2000.5383,   370.02,   369.29,     370.11,   369.41,     370.02,   369.29
2000, 08,   36753, 2000.6230,   368.03,   369.51,     368.04,   369.55,     368.03,   369.51
2000, 09,   36784, 2000.7077,   366.53,   369.85,     366.37,   369.70,     366.53,   369.85
2000, 10,   36814, 2000.7896,   366.64,   370.06,     366.44,   369.84,     366.64,   370.06
2000, 11,   36845, 2000.8743,   368.20,   370.35,     367.87,   369.98,     368.20,   370.35
2000, 12,   36875, 2000.9563,   369.44,   370.32,     369.25,   370.11,     369.44,   370.32
2001, 01,   36906, 2001.0411,   370.20,   370.15,     370.30,   370.24,     370.20,   370.15
2001, 02,   36937, 2001.1260,   371.41,   370.69,     371.10,   370.36,     371.41,   370.69
2001, 03,   36965, 2001.2027,   372.04,   370.57,     371.95,   370.47,     372.04,   370.57
2001, 04,   36996, 2001.2877,   372.78,   370.13,     373.26,   370.59,     372.78,   370.13
2001, 05,   37026, 2001.3699,   373.94,   370.71,     373.94,   370.71,     373.94,   370.71
2001, 06,   37057, 2001.4548,   373.23,   370.79,     373.26,   370.84,     373.23,   370.79
2001, 07,   37087, 2001.5370,   371.54,   370.77,     371.71,   370.97,     371.54,   370.77
2001, 08,   37118, 2001.6219,   369.47,   370.93,     369.63,   371.12,     369.47,   370.93
2001, 09,   37149, 2001.7068,   367.88,   371.20,     367.94,   371.27,     367.88,   371.20
2001, 10,   37179, 2001.7890,   368.01,   371.45,     368.00,   371.43,     368.01,   371.45
2001, 11,   37210, 2001.8740,   369.60,   371.75,     369.46,   371.59,     369.60,   371.75
2001, 12,   37240, 2001.9562,   371.16,   372.04,     370.89,   371.75,     371.16,   372.04
2002, 01,   37271, 2002.0411,   372.36,   372.31,     371.98,   371.92,     372.36,   372.31
2002, 02,   37302, 2002.1260,   373.00,   372.28,     372.83,   372.10,     373.00,   372.28
2002, 03,   37330, 2002.2027,   373.44,   371.97,     373.74,   372.26,     373.44,   371.97
2002, 04,   37361, 2002.2877,   374.77,   372.12,     375.12,   372.44,     374.77,   372.12
2002, 05,   37391, 2002.3699,   375.48,   372.24,     375.87,   372.64,     375.48,   372.24
2002, 06,   37422, 2002.4548,   375.33,   372.89,     375.27,   372.85,     375.33,   372.89
2002, 07,   37452, 2002.5370,   373.95,   373.18,     373.80,   373.06,     373.95,   373.18
2002, 08,   37483, 2002.6219,   371.41,   372.87,     371.79,   373.29,     371.41,   372.87
2002, 09,   37514, 2002.7068,   370.63,   373.96,     370.18,   373.53,     370.63,   373.96
2002, 10,   37544, 2002.7890,   370.18,   373.62,     370.32,   373.75,     370.18,   373.62
2002, 11,   37575, 2002.8740,   372.01,   374.17,     371.85,   373.99,     372.01,   374.17
2002, 12,   37605, 2002.9562,   373.71,   374.60,     373.34,   374.21,     373.71,   374.60
2003, 01,   37636, 2003.0411,   374.61,   374.56,     374.49,   374.43,     374.61,   374.56
2003, 02,   37667, 2003.1260,   375.55,   374.82,     375.39,   374.65,     375.55,   374.82
2003, 03,   37695, 2003.2027,   376.04,   374.57,     376.34,   374.85,     376.04,   374.57
2003, 04,   37726, 2003.2877,   377.58,   374.91,     377.74,   375.06,     377.58,   374.91
2003, 05,   37756, 2003.3699,   378.28,   375.04,     378.51,   375.26,     378.28,   375.04
2003, 06,   37787, 2003.4548,   378.07,   375.61,     377.90,   375.47,     378.07,   375.61
2003, 07,   37817, 2003.5370,   376.54,   375.77,     376.40,   375.66,     376.54,   375.77
2003, 08,   37848, 2003.6219,   374.42,   375.88,     374.35,   375.85,     374.42,   375.88
2003, 09,   37879, 2003.7068,   372.92,   376.25,     372.68,   376.03,     372.92,   376.25
2003, 10,   37909, 2003.7890,   372.94,   376.40,     372.76,   376.20,     372.94,   376.40
2003, 11,   37940, 2003.8740,   374.29,   376.45,     374.22,   376.36,     374.29,   376.45
2003, 12,   37970, 2003.9562,   375.63,   376.51,     375.64,   376.51,     375.63,   376.51
2004, 01,   38001, 2004.0410,   376.73,   376.68,     376.71,   376.65,     376.73,   376.68
2004, 02,   38032, 2004.1257,   377.31,   376.58,     377.52,   376.78,     377.31,   376.58
2004, 03,   38061, 2004.2049,   378.33,   376.83,     378.42,   376.90,     378.33,   376.83
2004, 04,   38092, 2004.2896,   380.44,   377.74,     379.73,   377.02,     380.44,   377.74
2004, 05,   38122, 2004.3716,   380.56,   377.30,     380.38,   377.13,     380.56,   377.30
2004, 06,   38153, 2004.4563,   379.49,   377.06,     379.66,   377.25,     379.49,   377.06
2004, 07,   38183, 2004.5383,   377.71,   376.96,     378.08,   377.37,     377.71,   376.96
2004, 08,   38214, 2004.6230,   375.78,   377.27,     375.97,   377.51,     375.78,   377.27
2004, 09,   38245, 2004.7077,   373.99,   377.35,     374.29,   377.66,     373.99,   377.35
2004, 10,   38275, 2004.7896,   374.17,   377.63,     374.37,   377.82,     374.17,   377.63
2004, 11,   38306, 2004.8743,   375.79,   377.96,     375.86,   378.01,     375.79,   377.96
2004, 12,   38336, 2004.9563,   377.39,   378.28,     377.32,   378.20,     377.39,   378.28
2005, 01,   38367, 2005.0411,   378.29,   378.24,     378.46,   378.40,     378.29,   378.24
2005, 02,   38398, 2005.1260,   379.56,   378.83,     379.36,   378.61,     379.56,   378.83
2005, 03,   38426, 2005.2027,   380.06,   378.57,     380.31,   378.81,     380.06,   378.57
2005, 04,   38457, 2005.2877,   382.02,   379.34,     381.73,   379.03,     382.02,   379.34
2005, 05,   38487, 2005.3699,   382.21,   378.94,     382.52,   379.25,     382.21,   378.94
2005, 06,   38518, 2005.4548,   382.05,   379.58,     381.92,   379.47,     382.05,   379.58
2005, 07,   38548, 2005.5370,   380.63,   379.85,     380.43,   379.68,     380.63,   379.85
2005, 08,   38579, 2005.6219,   378.64,   380.11,     378.39,   379.90,     378.64,   380.11
2005, 09,   38610, 2005.7068,   376.38,   379.74,     376.74,   380.11,     376.38,   379.74
2005, 10,   38640, 2005.7890,   376.77,   380.25,     376.84,   380.31,     376.77,   380.25
2005, 11,   38671, 2005.8740,   378.27,   380.45,     378.35,   380.51,     378.27,   380.45
2005, 12,   38701, 2005.9562,   379.93,   380.82,     379.82,   380.70,     379.93,   380.82
2006, 01,   38732, 2006.0411,   381.33,   381.29,     380.94,   380.88,     381.33,   381.29
2006, 02,   38763, 2006.1260,   381.98,   381.25,     381.79,   381.05,     381.98,   381.25
2006, 03,   38791, 2006.2027,   382.53,   381.04,     382.70,   381.20,     382.53,   381.04
2006, 04,   38822, 2006.2877,   384.33,   381.64,     384.06,   381.35,     384.33,   381.64
2006, 05,   38852, 2006.3699,   384.89,   381.62,     384.77,   381.50,     384.89,   381.62
2006, 06,   38883, 2006.4548,   383.99,   381.52,     384.10,   381.65,     383.99,   381.52
2006, 07,   38913, 2006.5370,   382.25,   381.47,     382.54,   381.79,     382.25,   381.47
2006, 08,   38944, 2006.6219,   380.44,   381.92,     380.42,   381.94,     380.44,   381.92
2006, 09,   38975, 2006.7068,   378.77,   382.14,     378.70,   382.09,     378.77,   382.14
2006, 10,   39005, 2006.7890,   379.03,   382.52,     378.76,   382.23,     379.03,   382.52
